System,System,System,System,System,System,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,TotalMem (GB),UsedMem (GB),MemUtil,CpuUtil,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),SysMem Read (MB/s),SysMem Write (MB/s),SysMem Total (MB/s)
2024-12-28,14:27:11.949,   183,    29, 16.15%,  1.31%,   10.93,    1.67,   10.82,    1.40,   10.70,    1.35,   10.54,    1.27,    9.63,    1.25,   10.49,    1.22,   63.11,    8.16,     18714,   71.27,   50.46,   88.30,   50.38,   88.30,   50.33,   88.27,   42.84,   83.39,   42.92,   83.36,   42.89,   83.40,  279.81,  515.02,     29122,  794.82,    342.92,    523.18,    866.09
2024-12-28,14:28:11.949,   183,    47, 26.01%,  3.26%,   14.27,    3.98,   14.32,    3.81,   14.20,    3.83,   13.75,    3.58,   12.65,    3.45,   13.54,    3.42,   82.73,   22.08,     18710,  104.82,  332.40,  145.99,  332.66,  145.92,  333.49,  146.11,  316.88,  140.93,  316.66,  140.92,  316.83,  140.90, 1948.93,  860.78,     29168, 2809.70,   2031.66,    882.86,   2914.52
2024-12-28,14:29:11.949,   183,    58, 32.20%, 12.46%,   73.23,   45.46,   72.36,   44.36,   72.85,   44.97,   68.66,   44.12,   67.61,   43.45,   68.60,   43.81,  423.31,  266.16,     18719,  689.47,  572.32,  163.13,  571.99,  163.10,  572.56,  162.96,  560.04,  163.57,  561.19,  163.89,  559.34,  161.89, 3397.43,  978.54,     18811, 4375.97,   3820.74,   1244.70,   5065.44
2024-12-28,14:30:11.949,   183,    58, 32.20%,  2.60%,   87.18,    6.64,   87.14,    6.57,   87.22,    6.60,   86.11,    6.21,   85.67,    6.20,   86.00,    6.18,  519.32,   38.40,     18724,  557.72, 1398.18,   24.97, 1397.71,   24.90, 1398.11,   24.94, 1367.04,   24.66, 1366.54,   24.67, 1366.35,   24.69, 8293.92,  148.83,     19022, 8442.76,   8813.24,    187.23,   9000.47
2024-12-28,14:31:11.948,   183,    59, 32.23%,  2.59%,  103.25,    3.25,  103.24,    3.18,  103.28,    3.21,  101.93,    2.88,  101.55,    2.93,  101.86,    2.91,  615.12,   18.35,     18727,  633.47, 1556.15,    3.95, 1555.50,    3.89, 1556.17,    3.94, 1549.24,    3.72, 1548.55,    3.72, 1548.48,    3.75, 9314.09,   22.96,     18997, 9337.05,   9929.20,     41.31,   9970.52
2024-12-28,14:32:11.949,   183,    60, 32.85%,  2.62%,   39.00,   11.31,   38.98,   11.25,   39.00,   11.26,   37.70,   10.81,   37.09,   10.82,   37.53,   10.80,  229.31,   66.24,     18714,  295.55,   45.88,    2.98,   45.81,    2.93,   45.81,    2.94,   45.15,    2.70,   45.08,    2.72,   45.09,    2.70,  272.82,   16.97,     18714,  289.79,    502.13,     83.21,    585.34
2024-12-28,14:33:11.952,   183,    61, 33.69%,  6.11%,   53.33,   30.98,   52.91,   31.01,   54.69,   32.46,   51.37,   30.37,   50.86,   30.25,   51.32,   30.44,  314.48,  185.52,     18717,  500.00,  133.54,   78.61,  133.35,   78.57,  135.07,   78.68,  130.71,   78.23,  130.41,   78.16,  130.37,   78.16,  793.45,  470.42,     18732, 1263.87,   1107.93,    655.94,   1763.86
2024-12-28,14:34:11.953,   183,    61, 33.74%,  6.16%,   53.80,   32.13,   53.41,   32.18,   55.26,   33.72,   52.07,   31.73,   51.47,   31.50,   51.90,   31.67,  317.90,  192.93,     18715,  510.84,  160.66,  100.39,  160.44,  100.30,  161.87,  100.45,  157.33,   99.99,  157.07,   99.96,  156.91,   99.83,  954.27,  600.92,     18744, 1555.19,   1272.17,    793.85,   2066.03
2024-12-28,14:35:11.953,   183,    55, 30.26%, 15.48%,   89.17,   60.74,   90.43,   61.91,   92.50,   63.98,   87.10,   60.24,   85.86,   60.06,   87.59,   61.16,  532.64,  368.09,     18717,  900.73,  368.76,  240.96,  365.76,  237.45,  369.73,  239.55,  359.35,  238.58,  357.46,  236.74,  357.08,  237.47, 2178.15, 1430.75,     18769, 3608.90,   2710.79,   1798.84,   4509.63
2024-12-28,14:36:11.952,   183,    57, 31.20%,  2.92%,   36.17,   14.79,   35.99,   14.69,   36.32,   14.83,   34.93,   14.44,   34.28,   14.39,   34.74,   14.42,  212.43,   87.57,     18714,  300.00,   17.13,    3.63,   17.18,    3.63,   17.19,    3.61,   16.31,    3.27,   16.31,    3.30,   16.31,    3.29,  100.43,   20.74,     18708,  121.17,    312.86,    108.31,    421.17
